year,code,country_origin,country_consignment,net_mass,cif_etb,cif_usd
2016,39013000,Belgium,India,98425.0,3155852.72,145283.04
2016,84295100,China,"Korea, Republic of",34830.0,3129705.05,144079.3
2016,84596900,"Korea, Republic of",Germany,5830.0,3100956.74,142755.84
2016,11010000,Egypt,Egypt,36000.0,3085178.46,142029.48
2016,90221900,Germany,Germany,3580.0,3071699.03,141408.94
2016,84189900,Switzerland,Switzerland,38637.1,3028542.04,139422.16
2016,62071900,China,China,5566075.46,10742523.72,747032.33
2016,54034100,China,China,36438412.42,23265864.37,2730640.04
2016,72269900,Turkey,Turkey,6919289.24,4005298.63,482946.12
2016,25010090,China,China,709660.65,3259573.35,151184.71
2016,33021090,United Kingdom,United Kingdom,6986447.94,3400165.98,477062.68
2016,85049090,India,India,33228464.96,20099097.98,2432150.13
2016,85177000,India,India,2952930.18,6345085.7,426327.3
2016,12099100,France,France,3103007.73,11283.21,143000.63
2016,76069200,India,India,8079695.82,12775245.83,943426.22
2016,84295900,Germany,Djibouti,6080884.83,14927191.43,958366.19
2016,84212310,Germany,Sweden,108060.98,7999955.54,372159.79
2016,69089000,China,Djibouti,12850191.68,9504570.67,855687.83
2016,85078090,Hong Kong,Hong Kong,11268065.62,5159874.71,755889.58
2016,76042900,United Arab Emirates,United Arab Emirates,10341831.18,10913700.42,965984.9
2016,32099000,China,China,4884915.28,14336130.14,872099.24
2016,87019000,Turkey,Turkey,9744477.05,7209106.04,774791.26
2016,82055900,China,China,13400230.99,15994896.41,1332792.0
2016,73064000,China,China,3109415.52,50765837.7,2461325.41
2016,84713010,China,United Kingdom,3616021.08,142535.65,172930.92
2016,39012000,"Korea, Republic of","Korea, Republic of",23269502.74,12979286.34,1607339.5
2016,87033390,Thailand,United Arab Emirates,7931813.01,7211920.78,694469.16
2016,39021000,"Korea, Republic of",United Arab Emirates,8707046.03,12898045.12,960077.13
2016,39012000,United Arab Emirates,United Arab Emirates,28126878.25,69482626.34,4351690.28
